competition,player_id,name,first_name,last_name,team,position,age,apps,mins_played,goals,xg,goals_vs_xg,shots,shots_on_target,shot_conv,xg_per_shot,mins_per_goal
Premier League,482609,Malo Gusto,Malo,Gusto,Chelsea FC,Defender,22.87,28,1744,2,1.46,0.54,11,5,18.18,0.13,872.0
Premier League,624773,Estêvão,Estêvão Willian,Almeida de Oliveira Gonçalves,Chelsea FC,Forward,18.93,20,762,2,2.83,-0.83,26,7,7.69,0.11,381.0
Premier League,486672,Moisés Caicedo,Moisés,Caicedo,Chelsea FC,Midfielder,24.41,26,2185,3,1.28,1.72,22,7,13.64,0.06,728.3333333333334
Premier League,512462,Jake O'Brien,Jake,O'Brien,Everton FC,Defender,24.88,30,2549,0,0.86,-0.86,9,3,0.0,0.1,
Premier League,59949,Séamus Coleman,Séamus,Coleman,Everton FC,Defender,37.48,3,12,0,0.0,0.0,0,0,0.0,0.0,
Premier League,496661,Tyler Dibling,Tyler,Dibling,Everton FC,Midfielder,20.12,14,350,0,0.2,-0.2,4,0,0.0,0.05,
Premier League,440993,Iliman Ndiaye,Iliman,Ndiaye,Everton FC,Forward,26.07,25,2156,6,5.08,0.92,31,16,19.35,0.16,359.3333333333333
Premier League,167887,Josh Laurent,Josh,Laurent,Burnley FC,Midfielder,30.91,28,1581,1,0.83,0.17,13,4,7.69,0.06,1581.0
Premier League,477555,Oscar Bobb,Oscar,Bobb,Fulham FC,Midfielder,22.72,16,764,0,1.06,-1.06,7,1,0.0,0.15,
Premier League,503714,Lesley Ugochukwu,Lesley,Ugochukwu,Burnley FC,Midfielder,22.01,30,1982,3,2.25,0.75,20,7,15.0,0.11,660.6666666666666
Premier League,435973,Lyle Foster,Lyle,Foster,Burnley FC,Forward,25.58,23,1307,3,3.04,-0.04,18,5,16.67,0.17,435.6666666666667
Premier League,101178,James Ward-Prowse,James,Ward-Prowse,Burnley FC,Midfielder,31.42,11,731,0,0.12,-0.12,2,0,0.0,0.06,
Premier League,219924,Issa Diop,Issa,Diop,Fulham FC,Defender,29.23,10,593,0,0.02,-0.02,1,0,0.0,0.02,
Premier League,169528,Antonee Robinson,Antonee,Robinson,Fulham FC,Defender,28.65,15,1045,0,0.22,-0.22,2,0,0.0,0.11,
Premier League,218328,Samuel Chukwueze,Samuel,Chukwueze,Fulham FC,Forward,26.86,17,805,3,1.87,1.13,21,6,14.29,0.09,268.3333333333333
Premier League,494960,Quilindschy Hartman,Quilindschy,Hartman,Burnley FC,Defender,24.38,17,1503,0,0.21,-0.21,7,3,0.0,0.03,
Premier League,166477,Timothy Castagne,Timothy,Castagne,Fulham FC,Defender,30.33,23,1219,0,1.11,-1.11,9,4,0.0,0.12,
Premier League,478969,Hjalmar Ekdal,Hjalmar,Ekdal,Burnley FC,Defender,27.45,15,1179,0,0.21,-0.21,5,1,0.0,0.04,
Premier League,440323,Armando Broja,Armando,Broja,Burnley FC,Forward,24.56,20,813,1,2.15,-1.15,16,6,6.25,0.13,813.0
Premier League,461188,Bashir Humphreys,Bashir,Humphreys,Burnley FC,Defender,23.05,15,1240,0,0.32,-0.32,7,1,0.0,0.05,
Premier League,208912,Joe Worrall,Joe,Worrall,Burnley FC,Defender,29.22,11,497,0,0.08,-0.08,1,0,0.0,0.08,
Premier League,477717,Maxime Estève,Maxime,Estève,Burnley FC,Defender,23.85,28,2405,0,0.67,-0.67,9,1,0.0,0.07,
Premier League,174874,Joachim Andersen,Joachim,Andersen,Fulham FC,Defender,29.84,28,2472,0,1.31,-1.31,12,3,0.0,0.11,
Premier League,469272,Loum Tchaouna,Loum,Tchaouna,Burnley FC,Forward,22.56,23,854,1,0.94,0.06,16,7,6.25,0.06,854.0
Premier League,76357,Tom Cairney,Tom,Cairney,Fulham FC,Midfielder,35.2,20,550,1,0.94,0.06,12,1,8.33,0.08,550.0
Premier League,184349,Ryan Sessegnon,Ryan,Sessegnon,Fulham FC,Midfielder,25.87,24,1639,2,1.16,0.84,13,3,15.38,0.09,819.5
Premier League,207189,Sander Berge,Sander,Berge,Fulham FC,Midfielder,28.13,31,2596,0,1.29,-1.29,10,3,0.0,0.13,
Premier League,212314,Sasa Lukic,Sasa,Lukic,Fulham FC,Midfielder,29.64,20,1239,1,1.84,-0.84,13,3,7.69,0.14,1239.0
Premier League,431639,Zian Flemming,Zian,Flemming,Burnley FC,Forward,27.67,22,1190,8,6.02,1.98,38,16,21.05,0.16,148.75
Premier League,209289,Emile Smith Rowe,Emile,Smith Rowe,Fulham FC,Midfielder,25.68,30,1466,3,4.26,-1.26,28,9,10.71,0.15,488.6666666666667
Premier League,153366,Harrison Reed,Harrison,Reed,Fulham FC,Midfielder,31.18,6,26,1,0.13,0.87,2,1,50.0,0.06,26.0
Premier League,444180,Jaidon Anthony,Jaidon,Anthony,Burnley FC,Forward,26.33,30,2123,7,3.96,3.04,46,18,15.22,0.09,303.2857142857143
Premier League,102057,Raúl Jiménez,Raúl,Jiménez,Fulham FC,Forward,34.92,30,1986,9,10.96,-1.96,64,18,14.06,0.17,220.66666666666666
Premier League,244042,Rodrigo Muniz,Rodrigo,Muniz Carvalho,Fulham FC,Forward,24.91,14,580,1,1.94,-0.94,21,4,4.76,0.09,580.0
Premier League,58621,Kyle Walker,Kyle,Walker,Burnley FC,Defender,35.85,29,2549,0,0.13,-0.13,3,0,0.0,0.04,
Premier League,174592,Marcus Edwards,Marcus,Edwards,Burnley FC,Forward,27.33,19,907,1,1.45,-0.45,21,5,4.76,0.07,907.0
Premier League,577725,Josh King,Josh,King,Fulham FC,Midfielder,19.24,25,1141,1,2.31,-1.31,24,10,4.17,0.1,1141.0
Premier League,465527,Hannibal Mejbri,Hannibal,Mejbri,Burnley FC,Midfielder,23.19,23,990,1,0.55,0.45,14,4,7.14,0.04,990.0
Premier League,44699,Ashley Barnes,Ashley,Barnes,Burnley FC,Forward,36.43,6,35,0,0.11,-0.11,1,0,0.0,0.11,
Premier League,216055,Florentino,Florentino Ibrain,Morris Luís,Burnley FC,Midfielder,26.62,24,1659,0,0.57,-0.57,9,1,0.0,0.06,
Premier League,153682,Harry Wilson,Harry,Wilson,Fulham FC,Forward,29.03,29,2276,10,5.07,4.93,66,24,15.15,0.08,227.6
Premier League,153133,Alex Iwobi,Alex,Iwobi,Fulham FC,Forward,29.92,25,2144,4,1.36,2.64,28,11,14.29,0.05,536.0
Premier League,232892,Calvin Bassey,Calvin,Bassey,Fulham FC,Defender,26.25,23,1902,1,1.64,-0.64,10,2,10.0,0.16,1902.0
Premier League,532529,Jack Hinshelwood,Jack,Hinshelwood,Brighton & Hove Albion FC,Midfielder,20.97,20,1179,1,2.19,-1.19,23,7,4.35,0.1,1179.0
Premier League,647850,Charalampos Kostoulas,Charalampos,Kostoulas,Brighton & Hove Albion FC,Forward,18.84,16,294,2,1.72,0.28,15,6,13.33,0.11,147.0
Premier League,216094,Jeremie Frimpong,Jeremie,Frimpong,Liverpool FC,Defender,25.31,15,752,0,0.43,-0.43,8,1,0.0,0.05,
Premier League,111478,Joël Veltman,Joël,Veltman,Brighton & Hove Albion FC,Defender,34.22,19,843,1,0.95,0.05,3,1,33.33,0.32,843.0
Premier League,544877,Milos Kerkez,Milos,Kerkez,Liverpool FC,Defender,22.4,28,2035,2,1.56,0.44,8,2,25.0,0.19,1017.5
Premier League,591386,Trey Nyoni,Trey,Nyoni,Liverpool FC,Midfielder,18.75,4,13,0,0.37,-0.37,1,0,0.0,0.37,
Premier League,223541,Federico Chiesa,Federico,Chiesa,Liverpool FC,Forward,28.44,23,278,2,1.43,0.57,16,4,12.5,0.09,139.0
Premier League,204716,Ibrahima Konaté,Ibrahima,Konaté,Liverpool FC,Defender,26.85,29,2487,1,1.06,-0.06,10,3,10.0,0.11,2487.0
Premier League,451340,Kaoru Mitoma,Kaoru,Mitoma,Brighton & Hove Albion FC,Midfielder,28.87,20,1426,2,3.27,-1.27,23,11,8.7,0.14,713.0
Premier League,424876,Dominik Szoboszlai,Dominik,Szoboszlai,Liverpool FC,Midfielder,25.43,29,2603,5,3.86,1.14,58,19,8.62,0.07,520.6
Premier League,467779,Mats Wieffer,Mats,Wieffer,Brighton & Hove Albion FC,Midfielder,26.38,21,1575,0,1.67,-1.67,16,4,0.0,0.1,
Premier League,463067,Georginio Rutter,Georginio,Rutter,Brighton & Hove Albion FC,Forward,23.95,25,1612,2,2.37,-0.37,35,12,5.71,0.07,806.0
Premier League,204120,Olivier Boscagli,Olivier,Boscagli,Brighton & Hove Albion FC,Defender,28.37,8,440,0,0.04,-0.04,1,0,0.0,0.04,
Premier League,441266,Ryan Gravenberch,Ryan,Gravenberch,Liverpool FC,Midfielder,23.88,29,2521,4,1.65,2.35,31,9,12.9,0.05,630.25
Premier League,509416,Yasin Ayari,Yasin,Ayari,Brighton & Hove Albion FC,Midfielder,22.48,24,1722,3,2.62,0.38,40,10,7.5,0.07,574.0
Premier League,83299,Lewis Dunk,Lewis,Dunk,Brighton & Hove Albion FC,Defender,34.37,29,2565,0,1.17,-1.17,19,2,0.0,0.06,
Premier League,50175,Danny Welbeck,Danny,Welbeck,Brighton & Hove Albion FC,Forward,35.35,30,1826,12,10.36,1.64,43,20,27.91,0.24,152.16666666666666
Premier League,171287,Joe Gomez,Joe,Gomez,Liverpool FC,Defender,28.86,16,495,0,0.23,-0.23,3,1,0.0,0.08,
Premier League,494595,Florian Wirtz,Florian,Wirtz,Liverpool FC,Midfielder,22.91,27,2015,4,5.73,-1.73,42,16,9.52,0.14,503.75
Premier League,535301,Carlos Baleba,Carlos,Baleba,Brighton & Hove Albion FC,Midfielder,22.24,25,1288,0,0.53,-0.53,15,1,0.0,0.04,
Premier League,243016,Alexis Mac Allister,Alexis,Mac Allister,Liverpool FC,Midfielder,27.27,30,2184,2,3.28,-1.28,44,11,4.55,0.07,1092.0
Premier League,592031,Yankuba Minteh,Yankuba,Minteh,Brighton & Hove Albion FC,Forward,21.69,27,1837,2,3.15,-1.15,35,10,5.71,0.09,918.5
Premier League,465730,Maxim De Cuyper,Maxim,De Cuyper,Brighton & Hove Albion FC,Defender,25.27,24,1154,2,1.71,0.29,11,6,18.18,0.16,577.0
Premier League,489580,Calvin Ramsay,Calvin,Ramsay,Liverpool FC,Defender,22.67,0,0,0,0.0,0.0,0,0,0.0,0.0,
Premier League,611922,Rio Ngumoha,Rio,Ngumoha,Liverpool FC,Forward,17.58,13,219,1,0.81,0.19,6,4,16.67,0.13,219.0
Premier League,596042,Kieran Morrison,Kieran,Morrison,Liverpool FC,Midfielder,19.39,0,0,0,0.0,0.0,0,0,0.0,0.0,
